MODE: iddfs

START STATE: 
0, 0, 0
99, 96, 1

GOAL STATE: 
99, 96, 1
0, 0, 0

MAX DEPTH: 9223372036854775807

VIABLE PATH FOUND

PATH: 
0, 0, 0
99, 96, 1

0, 2, 1
99, 94, 0

0, 1, 0
99, 95, 1

0, 3, 1
99, 93, 0

0, 2, 0
99, 94, 1

0, 4, 1
99, 92, 0

0, 3, 0
99, 93, 1

0, 5, 1
99, 91, 0

0, 4, 0
99, 92, 1

0, 6, 1
99, 90, 0

0, 5, 0
99, 91, 1

0, 7, 1
99, 89, 0

0, 6, 0
99, 90, 1

0, 8, 1
99, 88, 0

0, 7, 0
99, 89, 1

0, 9, 1
99, 87, 0

0, 8, 0
99, 88, 1

0, 10, 1
99, 86, 0

0, 9, 0
99, 87, 1

0, 11, 1
99, 85, 0

0, 10, 0
99, 86, 1

0, 12, 1
99, 84, 0

0, 11, 0
99, 85, 1

0, 13, 1
99, 83, 0

0, 12, 0
99, 84, 1

0, 14, 1
99, 82, 0

0, 13, 0
99, 83, 1

0, 15, 1
99, 81, 0

0, 14, 0
99, 82, 1

0, 16, 1
99, 80, 0

0, 15, 0
99, 81, 1

0, 17, 1
99, 79, 0

0, 16, 0
99, 80, 1

0, 18, 1
99, 78, 0

0, 17, 0
99, 79, 1

0, 19, 1
99, 77, 0

0, 18, 0
99, 78, 1

0, 20, 1
99, 76, 0

0, 19, 0
99, 77, 1

0, 21, 1
99, 75, 0

0, 20, 0
99, 76, 1

0, 22, 1
99, 74, 0

0, 21, 0
99, 75, 1

0, 23, 1
99, 73, 0

0, 22, 0
99, 74, 1

0, 24, 1
99, 72, 0

0, 23, 0
99, 73, 1

0, 25, 1
99, 71, 0

0, 24, 0
99, 72, 1

0, 26, 1
99, 70, 0

0, 25, 0
99, 71, 1

0, 27, 1
99, 69, 0

0, 26, 0
99, 70, 1

0, 28, 1
99, 68, 0

0, 27, 0
99, 69, 1

0, 29, 1
99, 67, 0

0, 28, 0
99, 68, 1

0, 30, 1
99, 66, 0

0, 29, 0
99, 67, 1

0, 31, 1
99, 65, 0

0, 30, 0
99, 66, 1

0, 32, 1
99, 64, 0

0, 31, 0
99, 65, 1

0, 33, 1
99, 63, 0

0, 32, 0
99, 64, 1

0, 34, 1
99, 62, 0

0, 33, 0
99, 63, 1

0, 35, 1
99, 61, 0

0, 34, 0
99, 62, 1

0, 36, 1
99, 60, 0

0, 35, 0
99, 61, 1

0, 37, 1
99, 59, 0

0, 36, 0
99, 60, 1

0, 38, 1
99, 58, 0

0, 37, 0
99, 59, 1

0, 39, 1
99, 57, 0

0, 38, 0
99, 58, 1

0, 40, 1
99, 56, 0

0, 39, 0
99, 57, 1

